   6  7164  6 0 VERMONT    1  PAINE, ELIJAH            
   6  1706  6 0 VERMONT    1  CHIPMAN, NATHANIEL       
   6  6913 40 0 VIRGINI  200  NICHOLAS, WILSON CARY    
   6  6063 40 0 VIRGINI  200  MASON, STEVENS THOMSON   
   7  9452  1 0 CONNECT    1  TRACY, URIAH             
   7  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   7 10043 11 0 DELAWAR    1  WHITE, SAMUEL            
   7  9947 11 0 DELAWAR    1  WELLS, WILLIAM HILL      
   7   379 44 0 GEORGIA  200  BALDWIN, ABRAHAM         
   7  4854 44 0 GEORGIA  200  JACKSON, JAMES -GEORGIA. 
   7  1118 51 0 KENTUCK  200  BROWN, JOHN -VIRGINIA-   
   7   994 51 0 KENTUCK  200  BRECKINRIDGE, JOHN       
   7  4628 52 0 MARYLAN    1  HOWARD, JOHN EAGER       
   7  4441 52 0 MARYLAN    1  HINDMAN, WILLIAM         
   7 10396 52 0 MARYLAN  200  WRIGHT, ROBERT           
   7  3303  3 0 MASSACH    1  FOSTER, DWIGHT           
   7  6058  3 0 MASSACH    1  MASON, JONATHAN          
   7  8423  4 0 NEW HAM    1  SHEAFE, JAMES            
   7  7493  4 0 NEW HAM    1  PLUMER, WILLIAM          
   7  7048  4 0 NEW HAM    1  OLCOTT, SIMEON           
   7  2440 12 0 NEW JER    1  DAYTON, JONATHAN         
   7  7029 12 0 NEW JER    1  OGDEN, AARON             
   7  6703 13 0 NEW YOR    1  MORRIS, GOUVERNEUR       
   7   233 13 0 NEW YOR  200  ARMSTRONG, JOHN -NEW YORK
   7  1847 13 0 NEW YOR  200  CLINTON, DE WITT         
   7  8977 47 0 NORTH C  200  STONE, DAVID             
   7  3342 47 0 NORTH C  200  FRANKLIN, JESSE          
   7  8070 14 0 PENNSYL    1  ROSS, JAMES              
   7  5744 14 0 PENNSYL  200  LOGAN, GEORGE            
   7  3315  5 0 RHODE I  200  FOSTER, THEODORE         
   7  2903  5 0 RHODE I  200  ELLERY, CHRISTOPHER      
   7  1939 48 0 SOUTH C  200  COLHOUN, JOHN EWING      
   7  7455 48 0 SOUTH C  200  PINCKNEY, CHARLES        
   7  9088 48 0 SOUTH C  200  SUMTER, THOMAS           
   7  1888 54 0 TENNESS  200  COCKE, WILLIAM           
   7   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
   7  1706  6 0 VERMONT    1  CHIPMAN, NATHANIEL       
   7   956  6 0 VERMONT  200  BRADLEY, STEPHEN ROW     
   7  6913 40 0 VIRGINI  200  NICHOLAS, WILSON CARY    
   7  6063 40 0 VIRGINI  200  MASON, STEVENS THOMSON   
   8  9452  1 0 CONNECT    1  TRACY, URIAH             
   8  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   8 10043 11 0 DELAWAR    1  WHITE, SAMUEL            
   8  9947 11 0 DELAWAR    1  WELLS, WILLIAM HILL      
   8   524 11 0 DELAWAR    1  BAYARD, JAMES ASHETON SR.
   8   379 44 0 GEORGIA  200  BALDWIN, ABRAHAM         
   8  4854 44 0 GEORGIA  200  JACKSON, JAMES -GEORGIA. 
   8   994 51 0 KENTUCK  200  BRECKINRIDGE, JOHN       
   8  1118 51 0 KENTUCK  200  BROWN, JOHN -VIRGINIA-   
   8  8678 52 0 MARYLAN  200  SMITH, SAMUEL -MARYLAND- 
   8 10396 52 0 MARYLAN  200  WRIGHT, ROBERT           
   8  7428  3 0 MASSACH    1  PICKERING, TIMOTHY       
   8    34  3 0 MASSACH    1  ADAMS, JOHN QUINCY       
   8  7493  4 0 NEW HAM    1  PLUMER, WILLIAM          
   8  7048  4 0 NEW HAM    1  OLCOTT, SIMEON           
   8  2440 12 0 NEW JER    1  DAYTON, JONATHAN         
   8  1974 12 0 NEW JER  200  CONDIT, JOHN             
   8  1847 13 0 NEW YOR  200  CLINTON, DE WITT         
   8   351 13 0 NEW YOR  200  BAILEY, THEODORUS        
   8  8647 13 0 NEW YOR  200  SMITH, JOHN -NEW YORK-   
   8  6577 13 0 NEW YOR  200  MITCHILL, SAMUEL LATHAM  
   8   233 13 0 NEW YOR  200  ARMSTRONG, JOHN -NEW YORK
   8  3342 47 0 NORTH C  200  FRANKLIN, JESSE          
   8  8977 47 0 NORTH C  200  STONE, DAVID             
   8  8645 24 0 OHIO     200  SMITH, JOHN -OHIO-       
   8 10379 24 0 OHIO     200  WORTHINGTON, THOMAS      
   8  5744 14 0 PENNSYL  200  LOGAN, GEORGE            
   8  5890 14 0 PENNSYL  200  MACLAY, SAMUEL           
   8  2903  5 0 RHODE I  200  ELLERY, CHRISTOPHER      
   8  7559  5 0 RHODE I  200  POTTER, SAMUEL JOHN      
   8  4656  5 0 RHODE I  200  HOWLAND, BENJAMIN        
   8  9088 48 0 SOUTH C  200  SUMTER, THOMAS           
   8  1346 48 0 SOUTH C  200  BUTLER, PIERCE           
   8  3423 48 0 SOUTH C  200  GAILLARD, JOHN           
   8   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
   8  1888 54 0 TENNESS  200  COCKE, WILLIAM           
   8  8639  6 0 VERMONT  200  SMITH, ISRAEL            
   8   956  6 0 VERMONT  200  BRADLEY, STEPHEN ROW     
   8  6913 40 0 VIRGINI  200  NICHOLAS, WILSON CARY    
   8  6063 40 0 VIRGINI  200  MASON, STEVENS THOMSON   
   8  9215 40 0 VIRGINI  200  TAYLOR, JOHN -VIRGINIA-  
   8  9658 40 0 VIRGINI  200  VENABLE, ABRAHAM BEDFORD 
   8  6625 40 0 VIRGINI  200  MOORE, ANDREW            
   8  3582 40 0 VIRGINI  200  GILES, WILLIAM BRANCH    
   9  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   9  9452  1 0 CONNECT    1  TRACY, URIAH             
   9 10043 11 0 DELAWAR    1  WHITE, SAMUEL            
   9   524 11 0 DELAWAR    1  BAYARD, JAMES ASHETON SR.
   9   379 44 0 GEORGIA  200  BALDWIN, ABRAHAM         
   9  4854 44 0 GEORGIA  200  JACKSON, JAMES -GEORGIA. 
   9  6472 44 0 GEORGIA  200  MILLEDGE, JOHN           
   9  9366 51 0 KENTUCK  200  THRUSTON, BUCKNER        
   9    20 51 0 KENTUCK  200  ADAIR, JOHN              
   9  1810 51 0 KENTUCK  200  CLAY, HENRY              
   9  8678 52 0 MARYLAN  200  SMITH, SAMUEL -MARYLAND- 
   9 10396 52 0 MARYLAN  200  WRIGHT, ROBERT           
   9  7792 52 0 MARYLAN  200  REED, PHILIP             
   9  7428  3 0 MASSACH    1  PICKERING, TIMOTHY       
   9    34  3 0 MASSACH    1  ADAMS, JOHN QUINCY       
   9  3610  4 0 NEW HAM  200  GILMAN, NICHOLAS         
   9  7493  4 0 NEW HAM    1  PLUMER, WILLIAM          
   9  1974 12 0 NEW JER  200  CONDIT, JOHN             
   9  5303 12 0 NEW JER  200  KITCHELL, AARON          
   9  8647 13 0 NEW YOR  200  SMITH, JOHN -NEW YORK-   
   9  6577 13 0 NEW YOR  200  MITCHILL, SAMUEL LATHAM  
   9  9517 47 0 NORTH C  200  TURNER, JAMES -NORTH CARO
   9  8977 47 0 NORTH C  200  STONE, DAVID             
   9 10379 24 0 OHIO     200  WORTHINGTON, THOMAS      
   9  8645 24 0 OHIO     200  SMITH, JOHN -OHIO-       
   9  5890 14 0 PENNSYL  200  MACLAY, SAMUEL           
   9  5744 14 0 PENNSYL  200  LOGAN, GEORGE            
   9  3104  5 0 RHODE I  200  FENNER, JAMES            
   9  4656  5 0 RHODE I  200  HOWLAND, BENJAMIN        
   9  9088 48 0 SOUTH C  200  SUMTER, THOMAS           
   9  3423 48 0 SOUTH C  200  GAILLARD, JOHN           
   9   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
   9  8608 54 0 TENNESS  200  SMITH, DANIEL            
   9   956  6 0 VERMONT  200  BRADLEY, STEPHEN ROW     
   9  8639  6 0 VERMONT  200  SMITH, ISRAEL            
   9  3582 40 0 VIRGINI  200  GILES, WILLIAM BRANCH    
   9  6625 40 0 VIRGINI  200  MOORE, ANDREW            
  10  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
  10  3678  1 0 CONNECT    1  GOODRICH, CHAUNCEY       
  10 10043 11 0 DELAWAR    1  WHITE, SAMUEL            
  10   524 11 0 DELAWAR    1  BAYARD, JAMES ASHETON SR.
  10  6472 44 0 GEORGIA  200  MILLEDGE, JOHN           
  10  5031 44 0 GEORGIA  200  JONES, GEORGE            
  10  2165 44 0 GEORGIA  200  CRAWFORD, WILLIAM HARRIS 
  10  7525 51 0 KENTUCK  200  POPE, JOHN               
  10  9366 51 0 KENTUCK  200  THRUSTON, BUCKNER        
  10  8678 52 0 MARYLAN  200  SMITH, SAMUEL -MARYLAND- 
  10  7792 52 0 MARYLAN  200  REED, PHILIP             
  10  7428  3 0 MASSACH    1  PICKERING, TIMOTHY       
  10    34  3 0 MASSACH    1  ADAMS, JOHN QUINCY       
  10  5726  3 0 MASSACH    1  LLOYD, JAMES -MASSACHUSET
  10  3610  4 0 NEW HAM  200  GILMAN, NICHOLAS         
  10  7200  4 0 NEW HAM  200  PARKER, NAHUM            
  10  1974 12 0 NEW JER  200  CONDIT, JOHN             
  10  5303 12 0 NEW JER  200  KITCHELL, AARON          
  10  8647 13 0 NEW YOR  200  SMITH, JOHN -NEW YORK-   
  10  6577 13 0 NEW YOR  200  MITCHILL, SAMUEL LATHAM  
  10  9517 47 0 NORTH C  200  TURNER, JAMES -NORTH CARO
  10  3342 47 0 NORTH C  200  FRANKLIN, JESSE          
  10  9380 24 0 OHIO     200  TIFFIN, EDWARD           
  10  8645 24 0 OHIO     200  SMITH, JOHN -OHIO-       
  10  6408 24 0 OHIO     200  MEIGS, RETURN JONATHAN JR
  10  3805 14 0 PENNSYL  200  GREGG, ANDREW            
  10  5890 14 0 PENNSYL  200  MACLAY, SAMUEL           
  10  5594 14 0 PENNSYL  200  LEIB, MICHAEL            
  10  4656  5 0 RHODE I  200  HOWLAND, BENJAMIN        
  10  3104  5 0 RHODE I  200  FENNER, JAMES            
  10  6076  5 0 RHODE I  200  MATHEWSON, ELISHA        
  10  3423 48 0 SOUTH C  200  GAILLARD, JOHN           
  10  9088 48 0 SOUTH C  200  SUMTER, THOMAS           
  10  8608 54 0 TENNESS  200  SMITH, DANIEL            
  10   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
  10   956  6 0 VERMONT  200  BRADLEY, STEPHEN ROW     
  10  7985  6 0 VERMONT  200  ROBINSON, JONATHAN       
  10  3582 40 0 VIRGINI  200  GILES, WILLIAM BRANCH    
  10  6625 40 0 VIRGINI  200  MOORE, ANDREW            
  11  3678  1 0 CONNECT    1  GOODRICH, CHAUNCEY       
  11  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
  11  2316  1 0 CONNECT    1  DANA, SAMUEL WHITTLESEY  
  11   524 11 0 DELAWAR    1  BAYARD, JAMES ASHETON SR.
  11 10043 11 0 DELAWAR    1  WHITE, SAMUEL            
  11  4586 11 0 DELAWAR    1  HORSEY, OUTERBRIDGE      
  11  2165 44 0 GEORGIA  200  CRAWFORD, WILLIAM HARRIS 
  11  6472 44 0 GEORGIA  200  MILLEDGE, JOHN           
  11  9157 44 0 GEORGIA  200  TAIT, CHARLES            
  11  7525 51 0 KENTUCK  200  POPE, JOHN               
  11  9366 51 0 KENTUCK  200  THRUSTON, BUCKNER        
  11  1810 51 0 KENTUCK  200  CLAY, HENRY              
